shot_id,useful,campaign
52138,1,MU04-APP-01
52137,1,MU04-APP-01
52136,1,MU04-APP-01
52135,1,MU04-DIV-05
52134,1,MU04-DIV-05
52132,1,MU04-DIV-05
52130,1,MU04-DIV-05
52129,1,MU04-DIV-05
52128,1,MU04-DIV-05
52127,1,MU04-DIV-05
52124,1,MU04-EST-02
52123,1,MU04-EST-02
52122,1,MU04-EST-02
52120,1,MU04-EST-02
52119,1,MU04-EST-02
52118,1,MU04-EST-02
52117,1,MU04-EST-02
52116,1,MU04-EST-02
52115,1,MU04-EST-02
52114,1,MU04-EST-02
52113,1,MU04-DIS-01
52112,1,MU04-DIS-01
52106,1,MU04-CT-06
52104,1,MU04-EST-07
52097,1,MU04-CT-05
52093,1,MU04-CT-05
52089,1,MU04-CT-05
52088,1,MU04-CT-05
52086,1,MU04-CT-05
52080,1,MU04-APP-06
52078,1,MU04-APP-06
52077,1,MU04-APP-06
52076,1,MU04-APP-06
52075,1,MU04-APP-06
52074,1,MU04-APP-06
52073,1,MU04-APP-06
52072,1,MU04-APP-06
52070,1,MU04-EST-02
52069,1,MU04-EST-02
52068,1,MU04-EST-02
52067,1,MU04-EST-02
52066,1,MU04-EST-02
52065,1,MU04-EST-02
52060,1,MU04-DIV-06
52059,1,MU04-WPTE-09
52058,1,MU04-WPTE-09
52057,1,MU04-WPTE-04
52056,1,MU04-CTRL-01
52055,1,MU04-WPTE-08
52054,1,MU04-WPTE-08
52052,1,MU04-WPTE-08
52051,1,MU04-DIV-06
52050,1,MU04-DIV-06
52049,1,MU04-DIV-06
52048,1,MU04-DIV-06
52047,1,MU04-DIV-06
52045,1,MU04-WPTE-04
52044,1,MU04-WPTE-04
52043,1,MU04-WPTE-04
52042,1,MU04-WPTE-04
52041,1,MU04-WPTE-04
52040,1,MU04-WPTE-04
52039,1,MU04-WPTE-04
52038,1,MU04-WPTE-04
52037,1,MU04-WPTE-09
52036,1,MU04-WPTE-09
52033,1,MU04-WPTE-09
52032,1,MU04-WPTE-09
52031,1,MU04-WPTE-09
52029,1,MU04-WPTE-09
52027,1,MU04-SOL-01
52026,1,MU04-SOL-01
52025,1,MU04-SOL-01
52024,1,MU04-SOL-01
52023,1,MU04-SOL-01
52022,1,MU04-DIV-01
52021,1,MU04-DIV-01
52020,1,MU04-DIV-01
52019,1,MU04-DIV-01
52018,1,MU04-DIV-01
52017,1,MU04-DIV-01
52016,1,MU04-DIV-01
52014,1,MU04-EST-07
52013,1,MU04-EST-07
52012,1,MU04-EST-07
52011,1,MU04-EST-07
52010,1,MU04-EST-07
52009,1,MU04-EST-07
52008,1,MU04-EST-07
52006,1,MU04-SOL-01
52005,1,MU04-SOL-01
52004,1,MU04-SOL-01
52003,1,MU04-SOL-01
52002,1,MU04-SOL-01
52001,1,MU04-SOL-01
52000,1,MU04-SOL-01
51999,1,MU04-SOL-01
51998,1,MU04-SOL-01
51996,1,MU04-SOL-01
51995,1,MU04-WPTE-08
51994,1,MU04-WPTE-08
51993,1,MU04-WPTE-08
51992,1,MU04-WPTE-08
51990,1,MU04-WPTE-08
51986,1,MU04-DIV-07
51985,1,MU04-DIV-07
51984,1,MU04-DIV-07
51983,1,MU04-DIV-07
51982,1,MU04-DIV-07
51981,1,MU04-DIV-07
51980,1,MU04-DIV-07
51979,1,MU04-DIV-07
51978,1,MU04-DIV-07
51977,1,MU04-DIV-07
51976,1,MU04-DIV-07
51975,1,MU04-SOL-01
51974,1,MU04-SOL-01
51973,1,MU04-SOL-01
51972,1,MU04-SOL-01
51969,1,MU04-CT-02
51968,1,MU04-CT-02
51967,1,MU04-CT-02
51966,1,MU04-WPTE-04
51965,1,MU04-CT-02
51964,1,MU04-CT-02
51963,1,MU04-WPTE-04
51962,1,MU04-CT-02
51961,1,MU04-WPTE-04
51960,1,MU04-CT-02
51959,1,MU04-WPTE-04
51958,1,MU04-SCEN-03
51957,1,MU04-WPTE-04
51956,1,MU04-WPTE-04
51955,1,MU04-WPTE-04
51954,1,MU04-WPTE-04
51953,1,MU04-SCEN-03
51951,1,MU04-SOL-03
51950,1,MU04-SOL-03
51949,1,MU04-SOL-03
51948,1,MU04-SOL-03
51946,1,MU04-SOL-03
51945,1,MU04-SOL-03
51944,1,MU04-SOL-03
51943,1,MU04-SOL-03
51942,1,MU04-DIS-01
51941,1,MU04-DIS-01
51940,1,MU04-DIS-01
51939,1,MU04-DIS-01
51938,1,MU04-DIS-01
51937,1,MU04-DIS-01
51930,1,MU04-CTRL-02
51929,1,MU04-CTRL-02
51928,1,MU04-CTRL-02
51927,1,MU04-CTRL-02
51924,1,MU04-WPTE-09
51923,1,MU04-WPTE-09
51922,1,MU04-WPTE-09
51921,1,MU04-WPTE-09
51920,1,MU04-WPTE-09
51919,1,MU04-WPTE-09
51918,1,MU04-WPTE-09
51917,1,MU04-WPTE-09
51916,1,MU04-EST-07
51915,1,MU04-EST-07
51914,1,MU04-EST-07
51913,1,MU04-EST-07
51912,1,MU04-EST-07
51911,1,MU04-EST-07
51910,1,MU04-EST-07
51909,1,MU04-EST-07
51908,1,MU04-EST-07
51907,1,MU04-EST-07
51905,1,MU04-SOL-03
51904,1,MU04-EST-04
51903,1,MU04-SOL-03
51902,1,MU04-SOL-03
51901,1,MU04-SOL-01
51900,1,MU04-SOL-03
51899,1,MU04-SOL-03
51898,1,MU04-EST-04
51897,1,MU04-SCEN-01
51896,1,MU04-SCEN-01
51895,1,MU04-SCEN-01
51894,1,MU04-SCEN-01
51893,1,MU04-SCEN-01
51892,1,MU04-SCEN-01
51891,1,MU04-SCEN-01
51890,1,MU04-SCEN-01
51889,1,MU04-SCEN-01
51888,1,MU04-SCEN-01
51887,1,MU04-DIV-02
51886,1,MU04-DIV-02
51885,1,MU04-DIV-02
51884,1,MU04-DIV-02
51883,1,MU04-DIV-02
51880,1,MU04-DIV-02
51879,1,MU04-DIV-02
51878,1,MU04-DIV-02
51877,1,MU04-DIV-02
51876,1,MU04-EST-04
51875,1,MU04-EST-04
51874,1,MU04-EST-04
51873,1,MU04-CTRL-01
51872,1,MU04-CTRL-01
51871,1,MU04-EST-04
51870,1,MU04-EST-04
51869,1,MU04-EST-04
51868,1,MU04-EST-04
51867,1,MU04-EST-04
51866,1,MU04-EST-04
51865,1,MU04-EST-04
51863,1,MU04-SOL-01
51862,1,MU04-SOL-01
51861,1,MU04-SOL-01
51860,1,MU04-SOL-01
51859,1,MU04-SOL-01
51858,1,MU04-SOL-01
51857,1,MU04-SOL-01
51856,1,MU04-SOL-01
51855,1,MU04-SOL-01
51849,1,MU04-SOL-03
51848,1,MU04-SOL-03
51846,1,MU04-SOL-03
51845,1,MU04-SOL-03
51843,1,MU04-SOL-01
51842,1,MU04-SOL-01
51841,1,MU04-SOL-01
51830,1,MU04-DIS-01
51829,1,MU04-CT-02
51827,1,MU04-CT-02
51826,1,MU04-CT-02
51825,1,MU04-CT-02
51824,1,MU04-CT-02
51823,1,MU04-CT-02
51822,1,MU04-CT-02
51821,1,MU04-SCEN-05
51820,1,MU04-SCEN-05
51819,1,MU04-SCEN-05
51818,1,MU04-SCEN-05
51817,1,MU04-SCEN-05
51816,1,MU04-SCEN-05
51815,1,MU04-SCEN-05
51810,1,MU04-DIV-06
51809,1,MU04-DIV-06
51808,1,MU04-DIV-06
51807,1,MU04-DIV-01
51806,1,MU04-DIV-01
51805,1,MU04-DIV-01
51804,1,MU04-DIV-01
51803,1,MU04-DIV-01
51802,1,MU04-DIV-01
51801,1,MU04-DIV-01
51800,1,MU04-DIV-01
51799,1,MU04-DIV-01
51798,1,MU04-DIV-01
51797,1,MU04-DIV-01
51796,1,MU04-DIV-01
