name,Number,r,z,2pi
amb_fl/cc01,1,0.1785,1.23490,6.283185307180
amb_fl/cc02,1,0.1785,0.92990,6.283185307180
amb_fl/cc03,1,0.1785,0.62490,6.283185307180
amb_fl/cc04,1,0.1785,0.31990,6.283185307180
amb_fl/cc05,1,0.1785,0.01490,6.283185307180
amb_fl/cc06,1,0.1785,-0.01810,6.283185307180
amb_fl/cc07,1,0.1785,-0.32310,6.283185307180
amb_fl/cc08,1,0.1785,-0.62810,6.283185307180
amb_fl/cc09,1,0.1785,-0.93310,6.283185307180
amb_fl/cc10,1,0.1785,-1.23810,6.283185307180
amb_fl/p2u/1,1,0.2600,1.47184,6.283185307180
amb_fl/p2u/2,1,0.3750,1.47184,6.283185307180
amb_fl/p2u/3,1,0.5050,1.47184,6.283185307180
amb_fl/p2u/4,1,0.6250,1.47184,6.283185307180
amb_fl/p2u/5,1,0.7100,1.47184,6.283185307180
amb_fl/p3u/1,1,1.1630,1.08259,6.283185307180
amb_fl/p3u/2,1,1.1630,1.09759,6.283185307180
amb_fl/p3u/3,1,1.0354,1.09759,6.283185307180
amb_fl/p3u/4,1,1.0354,1.08309,6.283185307180
amb_fl/p4u/1,1,1.5930,1.04079,6.283185307180
amb_fl/p4u/2,1,1.5930,1.05579,6.283185307180
amb_fl/p4u/3,1,1.4001,1.16579,6.283185307180
amb_fl/p4u/4,1,1.4001,1.15079,6.283185307180
amb_fl/p5u/1,1,1.7493,0.44221,6.283185307180
amb_fl/p5u/2,1,1.7493,0.45721,6.283185307180
amb_fl/p5u/3,1,1.5458,0.56420,6.283185307180
amb_fl/p5u/4,1,1.5458,0.54920,6.283185307180
amb_fl/p6u/1,1,1.4025,0.88900,6.283185307180
amb_fl/p6u/2,1,1.4025,0.90400,6.283185307180
amb_fl/p2l/1,1,0.2600,-1.48016,6.283185307180
amb_fl/p2l/2,1,0.3750,-1.48016,6.283185307180
amb_fl/p2l/3,1,0.5050,-1.48016,6.283185307180
amb_fl/p2l/4,1,0.6250,-1.48016,6.283185307180
amb_fl/p2l/5,1,0.7100,-1.48016,6.283185307180
amb_fl/p3l/1,1,1.1630,-1.08860,6.283185307180
amb_fl/p3l/2,1,1.1630,-1.10360,6.283185307180
amb_fl/p3l/3,1,1.0354,-1.10360,6.283185307180
amb_fl/p3l/4,1,1.0354,-1.08860,6.283185307180
amb_fl/p4l/1,1,1.5984,-1.04443,6.283185307180
amb_fl/p4l/2,1,1.5984,-1.06943,6.283185307180
amb_fl/p4l/3,1,1.4005,-1.15943,6.283185307180
amb_fl/p4l/4,1,1.4005,-1.14403,6.283185307180
amb_fl/p5l/1,1,1.7463,-0.44224,6.283185307180
amb_fl/p5l/2,1,1.7463,-0.45724,6.283185307180
amb_fl/p5l/3,1,1.7463,-0.53224,6.283185307180
amb_fl/p5l/4,1,1.5495,-0.54724,6.283185307180
amb_fl/p6l/1,1,1.4025,-0.88760,6.283185307180
amb_fl/p6l/2,1,1.4025,-0.90260,6.283185307180
