R,Z,DeltaR,DeltaZ,ang1,ang2,circ,N,mult,R(mOhms),Name
0.1190000,-1.4706064,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_1
0.1318126,-1.4706064,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_2
0.1446252,-1.4706064,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_3
0.1574378,-1.4706064,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_4
0.1190000,-1.4526320,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_5
0.1318126,-1.4526320,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_6
0.1446252,-1.4526320,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_7
0.1574378,-1.4526320,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_8
0.1190000,-1.4346573,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_9
0.1318126,-1.4346573,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_10
0.1446252,-1.4346573,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_11
0.1574378,-1.4346573,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_12
0.1190000,-1.4166828,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_13
0.1318126,-1.4166828,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_14
0.1446252,-1.4166828,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_15
0.1574378,-1.4166828,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_16
0.1190000,-1.3987083,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_17
0.1318126,-1.3987083,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_18
0.1446252,-1.3987083,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_19
0.1574378,-1.3987083,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_20
0.1190000,-1.3807338,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_21
0.1318126,-1.3807338,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_22
0.1446252,-1.3807338,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_23
0.1574378,-1.3807338,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_24
0.1190000,-1.3627592,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_25
0.1318126,-1.3627592,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_26
0.1446252,-1.3627592,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_27
0.1574378,-1.3627592,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_28
0.1190000,-1.3447847,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_29
0.1318126,-1.3447847,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_30
0.1446252,-1.3447847,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_31
0.1574378,-1.3447847,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_32
0.1190000,-1.3268102,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_33
0.1318126,-1.3268102,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_34
0.1446252,-1.3268102,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_35
0.1574378,-1.3268102,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_36
0.1190000,-1.3088357,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_37
0.1318126,-1.3088357,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_38
0.1446252,-1.3088357,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_39
0.1574378,-1.3088357,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_40
0.1190000,-1.2908611,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_41
0.1318126,-1.2908611,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_42
0.1446252,-1.2908611,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_43
0.1574378,-1.2908611,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_44
0.1190000,-1.2728866,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_45
0.1318126,-1.2728866,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_46
0.1446252,-1.2728866,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_47
0.1574378,-1.2728866,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_48
0.1190000,-1.2549121,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_49
0.1318126,-1.2549121,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_50
